Total: 105 poems

20100428-《新韵·楚王是何人》.md | title=《新韵·楚王是何人》 | genre=诗 | ci= | rhyme=中华新韵 | date=2010-04-17 | year=2010
20100725-《新韵·闲端君所赠》.md | title=《新韵·闲端君所赠》 | genre=诗 | ci= | rhyme=中华新韵 | date=2010-07-30 | year=2010
20100817-《新韵·偶感》.md | title=《新韵·偶感》 | genre=诗 | ci= | rhyme=中华新韵 | date=2010-08-30 | year=2010
20101020-《新韵·十月丹桂临街》.md | title=《新韵·十月丹桂临街》 | genre=诗 | ci= | rhyme=中华新韵 | date=2007-10-23 | year=2007
20101220-《卜算子·闺盼》.md | title=《卜算子·闺盼》 | genre=词 | ci=卜算子 | rhyme=未知 | date=2010-12-20 | year=2010
20110325-《新韵·彩云湖登高》.md | title=《新韵·彩云湖登高》 | genre=诗 | ci= | rhyme=中华新韵 | date=2011-03-05 | year=2011
20110812-《新韵·游动步公园有感》.md | title=《新韵·游动步公园有感》 | genre=诗 | ci= | rhyme=中华新韵 | date=2011-08-21 | year=2011
20110814-《新韵·贺故人新婚》.md | title=《新韵·贺故人新婚》 | genre=诗 | ci= | rhyme=中华新韵 | date=2011-08-29 | year=2011
20110818-《新韵·重庆枇杷山公园闲游》.md | title=《新韵·重庆枇杷山公园闲游》 | genre=五绝 | ci= | rhyme=中华新韵 | date=2011-08-18 | year=2011
20111002-《新韵·酒醉枝头月》.md | title=《新韵·酒醉枝头月》 | genre=诗 | ci= | rhyme=中华新韵 | date=2011-10-11 | year=2011
20111023-《新韵·归家听雨》.md | title=《新韵·归家听雨》 | genre=诗 | ci= | rhyme=中华新韵 | date=2011-10-31 | year=2011
20111123-《新韵·秋日听雨》.md | title=《新韵·秋日听雨》 | genre=诗 | ci= | rhyme=中华新韵 | date=2011-11-23 | year=2011
20120115-《新韵·偶算》.md | title=《新韵·偶算》 | genre=诗 | ci= | rhyme=中华新韵 | date=2012-01-09 | year=2012
20120122-《新韵·怀人》.md | title=《新韵·怀人》 | genre=诗 | ci= | rhyme=中华新韵 | date=2012-01-05 | year=2012
20120123-《新韵·惊闻故人辞世》.md | title=《新韵·惊闻故人辞世》 | genre=诗 | ci= | rhyme=中华新韵 | date=2012-01-04 | year=2012
20120209-《新韵·登金城山观日台望》.md | title=《新韵·登金城山观日台望》 | genre=诗 | ci= | rhyme=中华新韵 | date=2012-02-09 | year=2012
20120307-《新韵·春日石门公园公园有感》.md | title=《新韵·春日石门公园公园有感》 | genre=诗 | ci= | rhyme=中华新韵 | date=2012-03-29 | year=2012
20120605-《新韵·约强装是故人》.md | title=《新韵·约强装是故人》 | genre=诗 | ci= | rhyme=中华新韵 | date=2012-06-10 | year=2012
20120606-《新韵·约沿湖共陶然》.md | title=《新韵·约沿湖共陶然》 | genre=诗 | ci= | rhyme=中华新韵 | date=2012-06-17 | year=2012
20120610-《新韵·约归来些许梦》.md | title=《新韵·约归来些许梦》 | genre=诗 | ci= | rhyme=中华新韵 | date=2012-06-08 | year=2012
20120911-《新韵·游鸿恩寺公园》.md | title=《新韵·游鸿恩寺公园》 | genre=诗 | ci= | rhyme=中华新韵 | date=2012-09-26 | year=2012
20130110-《新韵·瘦客襄王》.md | title=《新韵·瘦客襄王》 | genre=诗 | ci= | rhyme=中华新韵 | date=2013-01-10 | year=2013
20130114-《新韵·梦枕一窗雨》.md | title=《新韵·梦枕一窗雨》 | genre=五绝 | ci= | rhyme=中华新韵 | date=2013-01-14 | year=2013
20130215-《新韵·感除夕念亡人》.md | title=《新韵·感除夕念亡人》 | genre=诗 | ci= | rhyme=中华新韵 | date=2012-02-09 | year=2012
20130419-《新韵·贺寿》.md | title=《新韵·贺寿》 | genre=五绝 | ci= | rhyme=中华新韵 | date=2013-04-19 | year=2013
20130809-《新韵·山观星入夜》.md | title=《新韵·山观星入夜》 | genre=诗 | ci= | rhyme=中华新韵 | date=2013-08-11 | year=2013
